Team,R32,S16,E8,FF,Championship,Champion
Akron,,,,,,
Alabama,,,330,850,3300,8000
Arizona,,,,-230,135,260
Arkansas,,,,,,
BYU,,,,,,
Cal Baptist,,,,,,
Clemson,,,,,,
Connecticut,,,-125,370,750,2200
Duke,,,-275,-110,165,380
Florida,,,,,,
Furman,,,,,,
Georgia,,,,,,
Gonzaga,,,,,,
Hawaii,,,,,,
High Point,,,,,,
Hofstra,,,,,,
Houston,,,,,,
Howard,,,,,,
Idaho,,,,,,
Illinois,,,,-270,200,650
Iowa,,,,210,1100,4500
Iowa St.,,,-178,290,850,1800
Kansas,,,,,,
Kennesaw St.,,,,,,
Kentucky,,,,,,
LIU,,,,,,
Louisville,,,,,,
McNeese,,,,,,
Miami FL,,,,,,
Miami OH,,,,,,
Michigan,,,-430,-155,190,340
Michigan St.,,,104,450,900,2500
Missouri,,,,,,
Nebraska,,,,,,
North Carolina,,,,,,
North Dakota St.,,,,,,
Northern Iowa,,,,,,
Ohio St.,,,,,,
Penn,,,,,,
Purdue,,,,180,550,1100
Queens,,,,,,
Saint Louis,,,,,,
Saint Mary's,,,,,,
Santa Clara,,,,,,
Siena,,,,,,
South Florida,,,,,,
St. John's,,,220,500,1000,3000
TCU,,,,,,
Tennessee,,,146,750,2700,8000
Tennessee St.,,,,,,
Texas,,,,,,
Texas A&M,,,,,,
Texas Tech,,,,,,
Troy,,,,,,
UCF,,,,,,
UCLA,,,,,,
Utah St.,,,,,,
VCU,,,,,,
Vanderbilt,,,,,,
Villanova,,,,,,
Virginia,,,,,,
Wisconsin,,,,,,
Wright St.,,,,,,
